task,board,run_id,n_results,ina_mwh_per_1000,fnb_mwh_per_1000,latency_ms,raw_ina_mwh_per_1000,boundary_original,boundary_recovered,boundary_route
kws,f401re,019f366f-357b-7820-b347-949b9832f1e8,202,21.53700311683585,20.80846425681637,158.923,21.537002990924087,present,documented-full-board,A
kws,f401re,019f3d8a-7a6e-7f92-81de-8e9e49eb795a,202,21.381732871954718,20.6072429756095,158.926,21.381732891914186,present,documented-full-board,A
kws,f401re,019f43e6-85da-76c2-a654-e834f3f159a7,202,21.11807948193534,20.68979717689161,158.9275,21.118079608085804,present,documented-full-board,A
kws,nano33,019e5da7-ef3e-7830-94a8-2ef6f6845b8e,313,2.36293475869957,2.1959087925896785,224.226,2.3629347657081996,absent,,none
kws,nano33,019e674c-cd81-7243-9470-a0d817a5b26d,143,2.378978647737421,,224.222,2.3789786596736593,absent,,none
kws,nano33,019e756b-3d0c-7610-be25-85b897d45d51,143,2.366554381871464,,224.132,2.3665543725718723,absent,,none
kws,esp32s3,019e5d8a-b23b-7c12-a163-1a0d0496eaa9,657,13.221435839505276,13.051336477683142,106.495,13.22143583375613,absent,,none
kws,esp32s3,019e653b-a89f-72b2-a648-adc974d864fc,300,13.176856173188597,,106.49549999999999,13.1768561537037,absent,,none
kws,esp32s3,019e71e7-8c70-7521-907f-5825a87931ad,300,13.291713373087067,,106.51,13.291713345370368,absent,,none
ic,f401re,019e7598-6637-7dd0-974b-881675b0bedc,93,71.36006163083808,70.11347124147217,755.4105,71.3600615292712,absent,inferred-full-board,C
ic,f401re,019e759a-52b9-71e0-8769-486b450e2244,93,71.02978100058853,69.23437258372682,755.423,71.02978126344085,absent,inferred-full-board,C
ic,f401re,019e75fe-9c3b-7061-9423-2831fac5798d,93,71.57784181541297,70.69772399977938,755.418,71.57784204301075,absent,inferred-full-board,C
ic,nano33,019e5daa-6c50-77d2-a24c-6ff624d22cc5,57,13.698335355020635,12.68061581203521,1232.8115,13.698335355750485,absent,,none
ic,nano33,019e674a-f6b6-7092-a5d0-b84111bc0858,26,13.716473907996441,,1232.6125000000002,13.71647396367521,absent,,none
ic,nano33,019e7569-6922-7123-be2a-5478fcbd3e5f,26,13.639584532660296,,1232.6,13.639584519230766,absent,,none
ic,esp32s3,019e5d8c-b9d7-76c1-ad1d-320a29516ca4,128,67.6314170932811,66.89003594208496,551.062,67.63141712022568,absent,,none
ic,esp32s3,019e653a-5889-71d1-8252-562d3a20e2e2,59,67.41579511632577,,551.06,67.41579500941619,absent,,none
ic,esp32s3,019e71e6-290e-70a0-a30c-fc3b5f797aba,59,68.00031943509805,,551.0745,68.00031952919018,absent,,none
ad,f401re,019f3676-d96e-7f10-9907-3586f4f15606,3942,1.2900795885309488,1.294157027465828,8.136,1.290079587349907,present,documented-full-board,A
ad,f401re,019f3d8d-b3fd-79b2-885f-007399c54367,3943,1.3155104310318981,1.2790505084538557,8.136,1.3155104190971338,present,documented-full-board,A
ad,f401re,019f43ea-02f5-7ac0-a2c0-e4fd615f9b08,3943,1.2954467851459166,1.285648609878441,8.136,1.2954467852312113,present,documented-full-board,A
ad,nano33,019e5dac-d497-7a52-b3a9-ba11b3f2185f,5636,0.1889386125994108,0.17591459337520354,12.421,0.18893861288541908,absent,,none
ad,nano33,019e6748-d2ff-7271-90c9-fe0415802f39,2576,0.18891270548166939,,12.421,0.18891270552967557,absent,,none
ad,nano33,019e7567-3aea-7621-9671-32874cf4529e,2577,0.1882913475978658,,12.404,0.18829134706592504,absent,,none
ad,esp32s3,019e5d8e-c5c3-7fa0-b798-93347e4afa0f,5965,1.440013187273794,1.4225552767529555,11.723,1.4400131898109338,absent,,none
ad,esp32s3,019e6538-f7b8-76a2-b79c-8353623df07c,2727,1.4288021761849499,,11.723,1.4288021733284437,absent,,none
ad,esp32s3,019e71e4-ab8b-70a3-a4f0-b894ceb098bf,2727,1.4381879466342462,,11.723,1.4381879511469662,absent,,none
